Site,Year,acpa,acce,moan,maca,decy,sisp,fafr,disp,meme,cona,issi,eufa,mysp,muan,masp,dsto,lesp,maar,stin,scsp,ocul,clar,sosp,agag,Agsp,po-branch,po-massive,livecoral,deadcoral,poas,poco,popo,sand,pavement,sponge-all,bransoft,feathsoft,fansoft,rubble,algae-all,fila-macro,flesh-macro,crustose,montast-all,Anemcolon,Anemsol,Zoanthids,pofur,erect-soft,enc-soft,fire-coral,sponge-erect,sponge-encrusting
Bigelow,1992,-1.735E-17,2.482,1.642,2.197,-3.886E-16,1.648,5.551E-17,0.278,5.551E-17,8.882E-16,-2.602E-17,4.857E-17,2.220E-16,-2.429E-17,4.441E-16,3.469E-18,5.725E-17,3.339E-17,5.551E-16,-4.684E-17,-3.698E-32,1.301E-18,-4.337E-19,1.100,-1.110E-16,0.551,1.382,11.279,13.501,1.382,-1.058E-16,0.551,26.994,4.677,7.445,14.064,-6.661E-15,2.753,11.307,4.943,2.665E-15,4.123,0.820,3.839,-2.567E-16,4.441E-16,1.443E-15,7.078E-16,11.625,2.484,0.553,9.597,3.037
Bigelow,1993,-1.041E-17,1.255,3.111,2.334,-2.220E-16,2.458,0.147,0.745,0.139,0.295,-2.776E-17,1.434E-16,0.147,-1.362E-17,-5.782E-17,5.551E-17,3.643E-17,6.072E-18,1.943E-16,-2.255E-17,8.674E-19,1.084E-18,-1.735E-18,1.449,0.147,2.806,1.804,15.990,2.518,1.804,2.122E-16,1.960,16.621,0.286,10.101,13.054,10.354,7.082,10.233,10.900,1.670,9.230,8.327E-16,5.444,0.147,1.388E-17,0.147,0.846,34.413,0.989,1.429,34.356,6.679
Bigelow,1994,1.214E-17,2.220E-16,2.158,1.315,-4.996E-16,1.876,0.000,0.254,1.310,1.032,-1.735E-17,-1.110E-16,0.269,-1.570E-16,0.278,1.978E-16,0.509,1.561E-17,2.220E-16,4.510E-17,0.000,4.554E-18,-4.337E-19,1.102,-1.665E-16,2.107,2.851,15.062,8.882E-16,2.851,-3.834E-16,2.107,14.861,-6.661E-16,9.367,11.303,12.674,7.736,11.673,12.216,9.007,1.862,1.348,3.473,-5.482E-16,9.021E-17,0.801,6.176E-16,29.451,3.260,1.047,23.691,5.125
Bigelow,1995,-6.939E-18,1.113,3.060,2.782,-5.551E-16,3.340,0.280,1.671,-1.110E-16,1.111,0.000,-1.665E-16,0.278,2.689E-17,0.278,-6.245E-17,-1.388E-16,2.168E-18,3.331E-16,0.278,-8.674E-19,4.554E-18,-1.301E-18,4.468,0.278,1.111,3.067,22.838,-3.553E-15,2.789,0.278,1.111,20.334,-8.882E-16,15.033,4.734,3.901,4.181,10.871,11.699,3.620,6.963,1.116,5.843,-8.882E-16,-3.261E-16,1.113,1.110E-16,9.783,3.623,1.116,8.162,5.292
Bigelow,1996,-1.041E-17,0.855,4.047,1.758,-4.996E-16,1.160,7.772E-16,0.585,0.601,1.140,2.220E-16,3.331E-16,0.287,-1.735E-17,0.570,-3.886E-16,0.285,5.725E-17,0.575,8.153E-17,1.301E-18,2.168E-18,-8.674E-19,2.346,-4.441E-16,1.554E-15,3.523,17.731,0.285,3.523,3.331E-16,-2.776E-16,10.186,-8.882E-16,8.995,7.560,3.539,4.119,12.766,27.845,14.311,13.535,2.498E-16,5.805,-2.220E-16,-9.992E-16,2.341,-2.220E-16,17.685,3.477,1.155,15.399,-3.553E-15
Bigelow,1997,-6.939E-18,1.120,3.582,2.498,-2.220E-16,4.449,-1.006E-16,0.831,0.273,0.820,-3.469E-17,0.280,0.273,3.730E-17,0.546,-1.561E-16,-1.221E-15,8.240E-17,1.107,5.725E-17,1.735E-18,0.273,8.674E-19,2.213,4.441E-16,-4.441E-16,3.575,21.841,0.278,3.575,-2.220E-16,-3.331E-16,19.180,2.220E-16,18.013,6.068,8.584,4.426,4.169,10.807,6.920,1.952,1.935,6.080,3.192E-16,5.551E-17,1.669,3.053E-16,17.115,2.477,1.929,14.198,6.637
Bigelow,1998,1.735E-18,1.394,1.391,1.926,0.000,1.097,0.278,0.278,0.278,5.551E-16,-1.388E-17,-1.874E-16,0.273,1.093E-16,0.280,1.388E-17,0.273,1.735E-18,0.546,1.665E-16,4.987E-17,-5.421E-20,4.337E-19,1.931,0.556,0.273,3.591,14.365,0.278,3.591,2.290E-16,0.273,19.979,-6.661E-16,13.819,6.100,6.387,4.445,8.320,20.231,9.374,10.584,0.273,3.318,9.992E-16,0.273,2.209,3.539E-16,16.143,3.040,0.553,13.409,2.757
Bigelow,1999,-6.939E-18,1.413,1.418,0.853,6.311E-30,2.309,3.955E-16,1.432,0.870,0.877,-2.602E-17,-2.220E-16,-4.441E-16,1.050E-16,-7.772E-16,3.123E-17,1.388E-17,6.332E-17,0.862,0.285,1.995E-18,-2.015E-18,-1.301E-18,1.717,0.845,1.720,4.275,18.590,0.565,4.275,-5.551E-16,1.435,22.113,0.570,12.006,6.289,6.257,3.721,5.130,19.321,8.265,9.344,1.712,2.270,0.857,0.285,1.442,0.285,14.199,1.997,0.855,12.165,3.710
Bigelow,2000,-5.204E-18,1.387,2.227,3.063,-3.331E-16,1.116,2.776E-16,1.401,0.551,0.280,-5.551E-17,0.280,3.469E-17,-3.643E-17,0.275,7.286E-17,-1.665E-16,-2.602E-17,0.556,0.275,1.005E-19,4.879E-19,1.735E-18,2.498,1.110E-16,2.222,3.352,19.203,-8.882E-15,3.352,-2.665E-15,1.942,13.688,3.331E-15,21.719,9.991,5.836,3.324,5.864,14.253,3.058,8.679,2.516,5.290,1.249E-16,0.280,1.676,0.280,21.034,3.329,0.836,17.594,4.169
Bigelow,2001,-8.674E-18,3.539E-16,2.495,1.111,-2.220E-16,1.389,-1.610E-15,1.931,0.273,0.556,-1.117E-16,-2.313E-17,3.053E-16,9.714E-17,-5.782E-17,6.476E-17,0.273,4.337E-18,1.111,-8.674E-18,1.771E-18,-2.448E-18,-8.674E-19,4.426,-1.110E-16,1.935,4.695,20.196,2.486,4.695,-3.151E-16,1.935,19.331,1.102,8.843,9.663,6.070,0.829,18.488,5.255,4.699,3.553E-14,0.556,3.607,4.510E-16,0.278,1.380,-1.318E-16,17.494,4.695,1.384,14.506,3.871
